ovr_rank,team,conference,record,ovr_rating,off_rating,off_rank,def_rating,def_rank,st_rating,st_rank,week
18,Notre Dame,Independent,10-2,17.3,35.7,21,19.2,26,0.8,39,14
19,Oregon,Pac-12,10-2,17.2,35.6,25,17,17,-1.5,111,14
20,Iowa,Big Ten,9-3,15.8,28.3,71,13.9,5,1.4,24,14
21,Texas A&M,SEC,7-5,15.1,33.7,34,19.1,24,0.5,45,14
22,USC,Pac-12,8-4,14.2,39,9,26.1,55,1.3,27,14
23,Iowa State,Big 12,7-5,13.5,32.6,41,18.7,21,-0.4,77,14
24,Indiana,Big Ten,8-4,13.4,36.8,14,25,46,1.5,22,14
25,Washington State,Pac-12,6-6,11.4,42.4,5,33.3,94,2.3,4,14
26,Miami,ACC,6-6,11.1,27.9,73,16.1,13,-0.6,85,14
27,Air Force,MWC,10-2,11,35.1,27,26.4,56,2.3,5,14
28,Appalachian State,Sun Belt,11-1,10.7,33.9,32,22.8,37,-0.5,82,14
29,Texas,Big 12,7-5,10.6,38.4,12,29.6,77,1.9,12,14
30,Oklahoma State,Big 12,8-4,10,35.6,23,25.8,51,0.2,56,14
31,Tennessee,SEC,7-5,9.6,27.8,74,18.4,19,0.1,58,14
32,Lousisiana,Sun Belt,10-2,9.5,36.3,16,28,66,1.3,31,14
33,Boise State,MWC,11-1,8.8,34.1,30,26,53,0.6,43,14
34,Navy,AAC,9-2,8.6,35.6,24,28.2,67,1.2,33,14
35,Missouri,SEC,6-6,8.2,24.6,88,17.1,18,0.6,44,14
36,Kentucky,SEC,7-5,7.9,28.9,65,21.8,31,0.8,41,14
37,Virginia,ACC,9-3,7.8,29.4,57,22.7,36,1.1,34,14
38,TCU,Big 12,5-7,7.7,29.2,62,22.6,35,1,35,14
39,Cincinnati,AAC,10-2,7.7,28.4,70,22.1,34,1.4,25,14
40,North Carolina,ACC,6-6,7.6,34,31,26,54,-0.4,76,14
41,Virginia Tech,ACC,8-4,7.2,29.3,59,22.9,38,0.8,40,14
42,Arizona State,Pac-12,7-5,7,29.3,58,24.1,42,1.8,15,14
43,Michigan State,Big Ten,6-6,6.8,24.4,89,16.1,12,-1.5,114,14
44,Temple,AAC,8-4,6.7,25.2,85,19,23,0.5,46,14
45,Tulane,AAC,6-6,6.5,33.6,35,27.2,60,0,62,14
46,Kansas State,Big 12,8-4,5.9,28.8,67,24.8,45,1.9,10,14
47,SMU,AAC,10-2,5.9,34.9,28,27.6,63,-1.5,113,14
48,South Carolina,SEC,4-8,5.5,23.8,94,20.6,29,2.2,6,14
49,Mississippi State,SEC,6-6,4.9,32.7,40,26.8,58,NA,96,14
50,Florida Atlantic,C-USA,9-3,4.4,29.2,61,25.2,47,0.4,49,14
51,Texas Tech,Big 12,4-8,3.5,32.8,39,30.9,83,1.6,20,14
52,Nebraska,Big Ten,5-7,2.9,32.3,42,27.3,61,-2.1,123,14
53,Ole Miss,SEC,4-8,2.6,28.5,69,24.1,43,-1.8,119,14
54,Ohio,MAC,6-6,2.5,35.5,26,34.3,103,1.2,32,14
55,Wake Forest,ACC,8-4,2.3,29.2,60,27.9,65,1,36,14
56,Pittsburgh,ACC,7-5,2.3,18.7,117,15.4,11,-1.1,99,14
57,Florida State,ACC,6-6,2.2,31.5,45,28.3,68,NA,97,14
58,BYU,Independent,7-5,1.4,27.9,72,25.7,50,-0.9,92,14
59,Illinois,Big Ten,6-6,0.9,24.7,87,25.8,52,2,9,14
60,Purdue,Big Ten,4-8,0.4,31.1,46,30.9,81,0.2,57,14
61,San Diego State,MWC,9-3,-0.3,14.7,128,16.9,16,1.9,11,14
62,Louisville,ACC,7-5,-0.4,33.9,33,33.9,99,-0.4,80,14
63,Western Kentucky,C-USA,8-4,-0.5,22.8,101,22.9,39,-0.5,83,14
64,Army,Independent,5-7,-0.8,28.8,66,29.1,72,-0.6,86,14
65,UAB,C-USA,9-3,-1.2,18.4,118,19.2,25,-0.4,78,14
66,Oregon State,Pac-12,5-7,-1.2,33.5,36,33.2,92,-1.6,116,14
67,Duke,ACC,5-7,-1.5,19.8,109,23,40,1.7,17,14
68,Louisiana Tech,C-USA,9-3,-1.7,25.9,80,27.5,62,-0.2,70,14
69,Hawai'i,MWC,9-4,-2,35.9,19,36.4,115,-1.4,110,14
70,Wyoming,MWC,7-5,-2.1,19.5,110,21.9,32,0.4,51,14
71,Syracuse,ACC,5-7,-2.4,25,86,29.2,73,1.8,14,14
72,Marshall,C-USA,8-4,-2.6,23.6,97,26.6,57,0.4,48,14
73,Colorado,Pac-12,5-7,-2.9,30.6,52,34.3,104,0.9,38,14
74,Arkansas State,Sun Belt,7-5,-2.9,30.8,47,34.7,105,0.9,37,14
75,Houston,AAC,4-8,-3.2,30.1,53,35,107,1.7,16,14
76,Stanford,Pac-12,4-8,-3.2,27.8,75,31.7,85,0.7,42,14
77,California,Pac-12,7-5,-3.3,23,100,24.6,44,-1.8,120,14
78,Tulsa,AAC,4-8,-3.4,24.4,91,25.6,49,-2.2,124,14
79,UCLA,Pac-12,4-8,-3.5,28.9,64,32.2,88,-0.2,71,14
80,Utah State,MWC,7-5,-3.6,25.5,82,29.6,76,0.5,47,14
81,Fresno State,MWC,4-8,-3.8,30.8,49,33.5,97,NA,98,14
82,Boston College,ACC,6-6,-4.1,33.4,37,35.7,112,-1.7,118,14
83,Central Michigan,MAC,8-4,-4.1,26.7,77,29.5,75,-1.3,107,14
84,Liberty,Independent,7-5,-4.3,30,54,34.1,100,-0.1,68,14
85,Northwestern,Big Ten,3-9,-4.3,16.9,122,19.7,27,-1.5,112,14
86,Buffalo,MAC,7-5,-4.4,23.6,96,25.5,48,-2.5,126,14
87,Southern Mississippi,C-USA,7-5,-4.4,24.4,92,28.3,69,-0.4,81,14
88,Western Michigan,MAC,7-5,-4.5,30.7,50,33.1,91,-2,122,14
89,Troy,Sun Belt,5-7,-4.6,32.2,43,35.5,110,-1.3,108,14
90,Georgia Southern,Sun Belt,7-5,-4.6,23.4,98,27.8,64,-0.2,69,14
91,Colorado State,MWC,4-8,-5.4,25.4,83,30.9,82,0.2,54,14
92,NC State,ACC,4-8,-5.4,22.5,102,29.2,74,1.3,29,14
93,West Virginia,Big 12,5-7,-5.8,23.7,95,28.4,70,-1.1,100,14
94,Ball State,MAC,5-7,-5.8,28.8,68,33.4,96,-1.2,102,14
95,North Texas,C-USA,4-8,-5.9,25.2,84,32.5,89,1.3,26,14
96,Arizona,Pac-12,4-8,-5.9,30.8,48,35.5,109,-1.2,106,14
97,Maryland,Big Ten,3-9,-6,26.7,78,30,79,-2.6,127,14
98,Charlotte,C-USA,7-5,-6.5,30.6,51,36.4,114,-0.7,90,14
99,Florida International,C-USA,6-6,-7.3,22.4,103,29.9,78,0.2,55,14
100,San Jose State,MWC,5-7,-8.4,29,63,37.4,116,0,64,14
101,Eastern Michigan,MAC,6-6,-8.9,29.4,56,37.7,118,-0.7,89,14
102,South Florida,AAC,4-8,-9.1,20.8,107,27.1,59,-2.8,128,14
103,Vanderbilt,SEC,3-9,-9.6,22.2,104,33.3,93,1.5,23,14
104,Arkansas,SEC,2-10,-9.8,22,105,32.1,87,0.2,53,14
105,Kansas,Big 12,3-9,-10,26.2,79,34.9,106,-1.2,105,14
106,Louisiana Monroe,Sun Belt,5-7,-10.6,31.7,44,40.7,127,-1.5,115,14
107,Miami (OH),MAC,7-5,-10.8,18.9,115,30.1,80,0.4,50,14
108,Georgia State,Sun Belt,7-5,-10.9,29.9,55,39.1,122,-1.6,117,14
109,Georgia Tech,ACC,3-9,-11,19.3,112,28.5,71,-1.9,121,14
110,Kent State,MAC,6-6,-11.7,24.4,90,37.9,119,1.8,13,14
111,Middle Tennessee,C-USA,4-8,-11.7,27.1,76,37.6,117,-1.2,104,14
112,Nevada,MWC,7-5,-12.5,18.9,114,31.5,84,0.1,60,14
113,Coastal Carolina,Sun Belt,5-7,-12.8,23.3,99,35.5,111,-0.6,88,14
114,Northern Illinois,MAC,5-7,-13.3,21.2,106,33.8,98,-0.7,91,14
115,Toledo,MAC,6-6,-13.4,25.8,81,38.3,121,NA,94,14
116,East Carolina,AAC,4-8,-13.9,24.1,93,38,120,0.1,59,14
117,Rutgers,Big Ten,2-10,-14.3,17.5,121,31.7,86,0,65,14
118,Texas State,Sun Belt,3-9,-14.9,18.1,119,32.7,90,-0.3,73,14
119,New Mexico,MWC,2-10,-17.5,20.4,108,39.5,123,1.6,21,14
120,UNLV,MWC,4-8,-17.9,19.4,111,36.1,113,-1.2,101,14
121,Rice,C-USA,3-9,-18.5,15,126,33.4,95,0,63,14
122,South Alabama,Sun Belt,2-10,-20.7,16.2,123,34.1,101,-2.8,129,14
123,New Mexico State,Independent,2-10,-21,19.3,113,40.2,126,-0.1,67,14
124,Old Dominion,C-USA,1-11,-23.9,10.7,129,34.2,102,-0.4,79,14
125,UT San Antonio,C-USA,4-8,-24.1,18.8,116,41.9,128,NA,95,14
126,Connecticut,AAC,2-10,-25,16.2,124,39.8,124,-1.4,109,14
127,UTEP,C-USA,1-11,-26.1,17.7,120,43.9,129,0,61,14
128,Bowling Green,MAC,3-9,-28.2,14.7,127,39.8,125,-3.1,130,14
129,Akron,MAC,0-12,-29.6,7.8,130,35.2,108,-2.3,125,14
130,UMass,Independent,1-11,-33.8,15.7,125,49,130,-0.5,84,14
1,Ohio State,Big Ten,13-0,35.4,44.1,4,10.3,1,1.7,18,15
2,Alabama,SEC,10-2,32.6,47.1,3,14.1,6,-0.3,74,15
3,LSU,SEC,13-0,31.8,47.3,1,17.6,19,2.1,8,15
4,Clemson,ACC,13-0,29.3,42.2,6,11.7,3,-1.2,103,15
5,Georgia,SEC,11-2,26.2,33.7,34,10.4,2,2.9,1,15
6,Oklahoma,Big 12,12-1,25.8,47.2,2,22.7,36,1.3,28,15
7,Florida,SEC,10-2,23.9,36.7,15,14.4,7,1.6,19,15
8,Penn State,Big Ten,10-2,23.6,36.1,17,14.7,8,2.2,7,15
9,Utah,Pac-12,11-2,21.9,37.4,12,15.2,10,-0.3,72,15
10,Auburn,SEC,9-3,21.8,33.4,38,12.9,4,1.3,30,15
11,Michigan,Big Ten,9-3,21.4,35.8,19,14.8,9,0.3,52,15
12,Wisconsin,Big Ten,10-3,21.4,38.7,10,16.8,15,-0.6,87,15
13,Memphis,AAC,12-1,19.3,39.3,8,22.6,35,2.5,3,15
14,UCF,AAC,9-3,18.7,37.2,13,18.4,20,-0.1,66,15
15,Baylor,Big 12,11-2,18.4,35.6,25,16.8,16,-0.3,75,15
16,Oregon,Pac-12,11-2,18.3,36,18,16.3,14,-1.5,111,15
17,Washington,Pac-12,7-5,18.1,35.7,23,20.2,27,2.6,2,15
18,Minnesota,Big Ten,10-2,17.5,39.4,7,21,30,-0.9,93,15
19,Notre Dame,Independent,10-2,17.2,35.7,20,19.3,25,0.8,39,15
20,Iowa,Big Ten,9-3,15.9,28.4,71,13.8,5,1.4,24,15
21,Texas A&M,SEC,7-5,15.3,33.8,33,19,24,0.5,45,15
22,USC,Pac-12,8-4,14.4,39.1,9,26.1,55,1.3,27,15
23,Iowa State,Big 12,7-5,13.6,32.7,41,18.7,22,-0.4,77,15
24,Indiana,Big Ten,8-4,13.5,36.9,14,24.9,47,1.5,22,15
25,Washington State,Pac-12,6-6,11.4,42.4,5,33.3,94,2.3,4,15
26,Miami,ACC,6-6,11.2,27.9,73,16.1,13,-0.6,85,15
27,Air Force,MWC,10-2,11.2,35.2,26,26.3,56,2.3,5,15
28,Appalachian State,Sun Belt,12-1,10.8,35,28,23.7,40,-0.5,82,15
29,Texas,Big 12,7-5,10.7,38.4,11,29.6,77,1.9,12,15
30,Oklahoma State,Big 12,8-4,10,35.7,22,25.8,53,0.2,56,15
31,Boise State,MWC,12-1,9.8,34.4,29,25.2,48,0.6,43,15
32,Tennessee,SEC,7-5,9.5,27.8,75,18.5,21,0.1,58,15
33,Lousisiana,Sun Belt,10-3,8.9,36.3,16,28.6,71,1.3,31,15
34,Navy,AAC,9-2,8.7,35.7,21,28.2,66,1.2,33,15
35,Cincinnati,AAC,10-3,8.4,29,64,22,33,1.4,25,15
36,Missouri,SEC,6-6,8.2,24.6,88,17.1,18,0.6,44,15
37,Kentucky,SEC,7-5,7.9,28.9,65,21.8,32,0.8,41,15
38,TCU,Big 12,5-7,7.7,29.2,62,22.6,34,1,35,15
39,North Carolina,ACC,6-6,7.7,34,31,26,54,-0.4,76,15
40,Virginia Tech,ACC,8-4,7.3,29.3,60,22.8,38,0.8,40,15
41,Arizona State,Pac-12,7-5,7,29.3,59,24.1,43,1.8,15,15
42,Michigan State,Big Ten,6-6,6.9,24.4,90,16.1,12,-1.5,114,15
43,Temple,AAC,8-4,6.8,25.3,84,19,23,0.5,46,15
44,Tulane,AAC,6-6,6.6,33.7,35,27.1,60,0,62,15
45,Virginia,ACC,9-4,6.5,29.6,57,24.3,44,1.1,34,15
46,Florida Atlantic,C-USA,10-3,6,29.7,56,24,41,0.4,49,15
47,SMU,AAC,10-2,6,35,27,27.5,63,-1.5,113,15
48,Kansas State,Big 12,8-4,5.9,28.8,69,24.8,46,1.9,10,15
49,South Carolina,SEC,4-8,5.4,23.8,94,20.6,29,2.2,6,15
50,Mississippi State,SEC,6-6,5.1,32.8,40,26.7,58,NA,96,15
51,Texas Tech,Big 12,4-8,3.5,32.8,39,30.9,83,1.6,20,15
52,Nebraska,Big Ten,5-7,2.9,32.3,42,27.3,61,-2.1,123,15
53,Ole Miss,SEC,4-8,2.8,28.6,70,24,42,-1.8,119,15
54,Ohio,MAC,6-6,2.5,35.6,24,34.3,102,1.2,32,15
55,Wake Forest,ACC,8-4,2.5,29.3,61,27.8,65,1,36,15
56,Pittsburgh,ACC,7-5,2.3,18.8,117,15.4,11,-1.1,99,15
57,Florida State,ACC,6-6,2.2,31.5,45,28.3,68,NA,97,15
58,BYU,Independent,7-5,1.4,28,72,25.7,51,-0.9,92,15
59,Illinois,Big Ten,6-6,1,24.8,87,25.8,52,2,9,15
60,Purdue,Big Ten,4-8,0.4,31.1,46,30.9,82,0.2,57,15
61,San Diego State,MWC,9-3,-0.2,14.7,127,16.8,17,1.9,11,15
62,Western Kentucky,C-USA,8-4,-0.4,22.9,101,22.8,37,-0.5,83,15
63,Louisville,ACC,7-5,-0.4,33.9,32,33.9,99,-0.4,80,15
64,Army,Independent,5-7,-0.8,28.9,68,29.1,72,-0.6,86,15
65,Oregon State,Pac-12,5-7,-1.3,33.5,36,33.2,92,-1.6,116,15
66,Duke,ACC,5-7,-1.4,19.9,109,22.9,39,1.7,17,15
67,Louisiana Tech,C-USA,9-3,-1.7,26,80,27.4,62,-0.2,70,15
68,Wyoming,MWC,7-5,-1.8,19.6,110,21.8,31,0.4,51,15
69,Marshall,C-USA,8-4,-2.2,23.8,95,26.4,57,0.4,48,15
70,Syracuse,ACC,5-7,-2.4,25,86,29.2,74,1.8,14,15
71,Arkansas State,Sun Belt,7-5,-2.9,30.8,48,34.7,105,0.9,37,15
72,Colorado,Pac-12,5-7,-3,30.5,52,34.4,104,0.9,38,15
73,Hawai'i,MWC,9-5,-3.1,34.3,30,35.9,113,-1.4,110,15
74,Stanford,Pac-12,4-8,-3.1,27.9,74,31.6,85,0.7,42,15
75,Houston,AAC,4-8,-3.2,30.1,53,35,107,1.7,16,15
76,California,Pac-12,7-5,-3.3,23,100,24.6,45,-1.8,120,15
77,Tulsa,AAC,4-8,-3.3,24.4,92,25.6,50,-2.2,124,15
78,UAB,C-USA,9-4,-3.3,17.6,120,20.6,28,-0.4,78,15
79,Utah State,MWC,7-5,-3.4,25.6,82,29.5,76,0.5,47,15
80,UCLA,Pac-12,4-8,-3.6,28.9,66,32.2,88,-0.2,71,15
81,Fresno State,MWC,4-8,-3.7,30.9,47,33.5,96,NA,98,15
82,Boston College,ACC,6-6,-3.9,33.4,37,35.6,112,-1.7,118,15
83,Southern Mississippi,C-USA,7-5,-4.2,24.5,89,28.2,67,-0.4,81,15
84,Buffalo,MAC,7-5,-4.2,23.7,97,25.4,49,-2.5,126,15
85,Western Michigan,MAC,7-5,-4.3,30.8,49,33.1,91,-2,122,15
86,Central Michigan,MAC,8-5,-4.4,26,79,29.1,73,-1.3,107,15
87,Liberty,Independent,7-5,-4.4,29.9,54,34.2,100,-0.1,68,15
88,Northwestern,Big Ten,3-9,-4.4,16.9,122,19.8,26,-1.5,112,15
89,Georgia Southern,Sun Belt,7-5,-4.6,23.4,98,27.8,64,-0.2,69,15
90,Troy,Sun Belt,5-7,-4.6,32.2,43,35.5,109,-1.3,108,15
91,Colorado State,MWC,4-8,-5.1,25.5,83,30.8,81,0.2,54,15
92,NC State,ACC,4-8,-5.3,22.6,102,29.2,75,1.3,29,15
93,Ball State,MAC,5-7,-5.6,28.9,67,33.4,95,-1.2,102,15
94,West Virginia,Big 12,5-7,-5.8,23.7,96,28.4,69,-1.1,100,15
95,North Texas,C-USA,4-8,-5.9,25.2,85,32.5,89,1.3,26,15
96,Maryland,Big Ten,3-9,-5.9,26.7,77,30,80,-2.6,127,15
97,Arizona,Pac-12,4-8,-6,30.8,50,35.6,111,-1.2,106,15
98,Charlotte,C-USA,7-5,-6.3,30.7,51,36.3,115,-0.7,90,15
99,Florida International,C-USA,6-6,-7.1,22.5,103,29.8,79,0.2,55,15
100,San Jose State,MWC,5-7,-8.3,29.1,63,37.4,116,0,64,15
101,Eastern Michigan,MAC,6-6,-8.9,29.5,58,37.7,118,-0.7,89,15
102,South Florida,AAC,4-8,-9.1,20.8,107,27.1,59,-2.8,128,15
103,Vanderbilt,SEC,3-9,-9.6,22.2,104,33.3,93,1.5,23,15
104,Arkansas,SEC,2-10,-9.7,22.1,105,32.1,87,0.2,53,15
105,Kansas,Big 12,3-9,-10,26.2,78,34.9,106,-1.2,105,15
106,Miami (OH),MAC,8-5,-10.3,19,114,29.6,78,0.4,50,15
107,Louisiana Monroe,Sun Belt,5-7,-10.7,31.6,44,40.8,127,-1.5,115,15
108,Georgia State,Sun Belt,7-5,-10.9,29.9,55,39.1,122,-1.6,117,15
109,Georgia Tech,ACC,3-9,-11.1,19.3,112,28.6,70,-1.8,121,15
110,Middle Tennessee,C-USA,4-8,-11.4,27.2,76,37.5,117,-1.2,104,15
111,Kent State,MAC,6-6,-11.6,24.4,91,37.9,119,1.8,13,15
112,Nevada,MWC,7-5,-12.4,19,115,31.4,84,0.1,60,15
113,Coastal Carolina,Sun Belt,5-7,-12.9,23.3,99,35.5,110,-0.6,88,15
114,Toledo,MAC,6-6,-13.4,25.9,81,38.2,121,NA,94,15
115,Northern Illinois,MAC,5-7,-13.5,21.2,106,33.9,98,-0.7,91,15
116,East Carolina,AAC,4-8,-13.8,24.1,93,38,120,0.1,59,15
117,Rutgers,Big Ten,2-10,-14.3,17.5,121,31.8,86,0,65,15
118,Texas State,Sun Belt,3-9,-14.9,18.1,118,32.7,90,-0.3,73,15
119,New Mexico,MWC,2-10,-17.5,20.5,108,39.5,123,1.6,21,15
120,UNLV,MWC,4-8,-17.8,19.4,111,36.1,114,-1.2,101,15
121,Rice,C-USA,3-9,-18.6,14.9,126,33.5,97,0,63,15
122,South Alabama,Sun Belt,2-10,-20.9,16.2,124,34.2,101,-2.8,129,15
123,New Mexico State,Independent,2-10,-21,19.3,113,40.2,126,-0.1,67,15
124,Old Dominion,C-USA,1-11,-24,10.7,129,34.3,103,-0.4,79,15
125,UT San Antonio,C-USA,4-8,-24.1,18.8,116,41.9,128,NA,95,15
126,Connecticut,AAC,2-10,-25,16.2,123,39.8,124,-1.4,109,15
127,UTEP,C-USA,1-11,-26.2,17.7,119,43.9,129,0,61,15
128,Bowling Green,MAC,3-9,-28.2,14.7,128,39.9,125,-3.1,130,15
129,Akron,MAC,0-12,-29.9,7.7,130,35.3,108,-2.3,125,15
130,UMass,Independent,1-11,-33.7,15.7,125,49,130,-0.5,84,15
